date,day,channel,asset_or_action,target_url,impressions,saves_or_likes,comments,outbound_clicks,free_checklist_clicks,gumroad_clicks,orders,revenue_usd,notes,next_action
2026-06-29,1,Pinterest,Pin 1 - If Mom Went to the ER Tonight,https://www.my-echo-box.com/emergency-binder-for-aging-parents.html,0,0,0,0,0,0,0,0,,Publish and record baseline
2026-06-29,1,Pinterest,Pin 2 - Medication List,https://www.my-echo-box.com/emergency-binder-for-aging-parents.html,0,0,0,0,0,0,0,0,,Publish and record baseline
2026-06-29,1,Pinterest,Pin 3 - Ask Your Parent This Tonight,https://www.my-echo-box.com/emergency-binder-for-aging-parents.html,0,0,0,0,0,0,0,0,,Publish and record baseline
2026-06-30,2,Pinterest,Pin 4 - Important Papers,https://www.my-echo-box.com/emergency-binder-for-aging-parents.html,0,0,0,0,0,0,0,0,,Check early saves
2026-06-30,2,Pinterest,Pin 5 - Caregiver Binder,https://www.my-echo-box.com/emergency-binder-for-aging-parents.html,0,0,0,0,0,0,0,0,,Check early saves
2026-07-01,3,Gumroad,Update cover and description,https://samzhu168.gumroad.com/l/echo-box-family-emergency-binder,0,0,0,0,0,0,0,0,,Record before/after conversion
2026-07-02,4,X,One thread about aging parent emergency info,https://www.my-echo-box.com/emergency-binder-for-aging-parents.html,0,0,0,0,0,0,0,0,,Post without hard sell
2026-07-03,5,Pinterest,5 visual variants from best hooks,https://www.my-echo-box.com/emergency-binder-for-aging-parents.html,0,0,0,0,0,0,0,0,,Double down on strongest hook
2026-07-04,6,Commenting,20 caregiver/aging parent comments,https://www.my-echo-box.com/emergency-binder-for-aging-parents.html,0,0,0,0,0,0,0,0,,Track profile visits if available
2026-07-05,7,Review,Weekly review and decision,,0,0,0,0,0,0,0,0,,Keep top 3 angles and cut bottom 3
